name,datetime,temp,cloudcover,visibility,solarradiation,solarenergy,uvindex,conditions,temp_expe,temp_desvS
carepa,2024-05-05T00:00:00,23.9,98.3,24.1,0,0,0,Overcast,25,44.9500671
carepa,2024-05-05T01:00:00,23.6,78.1,24.1,0,0,0,Partially cloudy,24.8,44.9500671
carepa,2024-05-05T02:00:00,23.4,99.8,24.1,0,0,0,Overcast,24.6,44.9500671
carepa,2024-05-05T03:00:00,23.3,84.5,24.1,0,0,0,Partially cloudy,24.5,44.9500671
carepa,2024-05-05T04:00:00,23.2,66.5,24.1,0,0,0,Partially cloudy,24.3,44.9500671
carepa,2024-05-05T05:00:00,23.1,99.8,24.1,0,0,0,Overcast,24.2,44.9500671
carepa,2024-05-05T06:00:00,25,50,10,0,0,0,Partially cloudy,27.5,44.9500671
carepa,2024-05-05T07:00:00,24.8,53.7,11.8,75,0.3,1,Partially cloudy,30,44.9500671
carepa,2024-05-05T08:00:00,26,50,10,243,0.9,2,Partially cloudy,40,44.9500671
carepa,2024-05-05T09:00:00,27,50,10,462,1.7,5,"Rain, Partially cloudy",55,44.9500671
carepa,2024-05-05T10:00:00,27.9,64.8,11.8,626,2.3,6,"Rain, Partially cloudy",70,44.9500671
carepa,2024-05-05T11:00:00,29,50,10,644,2.3,6,"Rain, Partially cloudy",90,44.9500671
carepa,2024-05-05T12:00:00,31,50,10,798,2.9,8,"Rain, Partially cloudy",110,44.9500671
carepa,2024-05-05T13:00:00,32,53.7,13.7,887,3.2,9,"Rain, Partially cloudy",130,44.9500671
carepa,2024-05-05T14:00:00,31,26.8,10,726,2.6,7,Partially cloudy,140,44.9500671
carepa,2024-05-05T15:00:00,32,26.8,10,425,1.5,4,"Rain, Partially cloudy",170,44.9500671
carepa,2024-05-05T16:00:00,32.1,26.8,13.7,354,1.3,4,"Rain, Partially cloudy",120,44.9500671
carepa,2024-05-05T17:00:00,31,26.8,10,258,0.9,3,"Rain, Partially cloudy",115,44.9500671
carepa,2024-05-05T18:00:00,30,26.8,10,95,0.3,1,"Rain, Partially cloudy",114,44.9500671
carepa,2024-05-05T19:00:00,25.2,100,24.1,0,0,0,"Rain, Overcast",80,44.9500671
carepa,2024-05-05T20:00:00,24.9,99.4,17.8,0,0,0,Overcast,60,44.9500671
carepa,2024-05-05T21:00:00,24.9,100,17.4,0,0,0,"Rain, Overcast",50,44.9500671
carepa,2024-05-05T22:00:00,24.8,100,17.5,0,0,0,"Rain, Overcast",40,44.9500671
carepa,2024-05-05T23:00:00,24.7,99.7,5.7,0,0,0,"Rain, Overcast",35,44.9500671
